request,latency_ms,status
125,325.588500010781,200
149,321.01249997504056,200
147,323.11310002114624,200
113,349.4152999483049,200
144,341.08110005035996,200
135,349.6809999924153,200
136,362.2250999324024,200
148,353.28839998692274,200
130,367.943900055252,200
137,370.2967999270186,200
123,380.383100011386,200
150,68.0479999864474,200
151,75.04570006858557,200
154,81.12049999181181,200
157,90.94989998266101,200
153,98.08349993545562,200
162,96.29629994742572,200
164,106.30569991189986,200
155,116.77690001670271,200
166,110.93219998292625,200
152,130.85000007413328,200
171,126.09120004344732,200
158,140.2525999583304,200
168,140.74260008055717,200
170,157.931900001131,200
177,157.5658000074327,200
180,164.6459000185132,200
176,168.41299994848669,200
174,175.15979998279363,200
178,179.4693999690935,200
183,178.42730006668717,200
181,185.15220005065203,200
186,180.43690000195056,200
184,195.99969999399036,200
190,200.27979998849332,200
191,199.93649993557483,200
192,207.19210000243038,200
195,208.56950001325458,200
188,224.6074000140652,200
159,253.0749998986721,200
193,221.87420004047453,200
156,267.776400083676,200
197,235.46590004116297,200
187,243.83539997506887,200
172,269.4752999814227,200
196,254.13679995108396,200
175,278.2567000249401,200
169,292.48720000032336,200
161,305.6230000220239,200
163,316.1967999767512,200
182,302.7049000374973,200
179,311.9913999689743,200
167,337.8816000185907,200
199,309.09120000433177,200
189,335.9995000064373,200
173,354.30820006877184,200
165,362.7412000205368,200
198,336.90420002676547,200
185,351.5231000492349,200
160,384.27150005009025,200
194,352.88879997096956,200
200,71.13689999096096,200
201,73.08330002706498,200
204,74.24599991645664,200
207,79.22429998870939,200
203,93.69080001488328,200
212,99.03649997431785,200
206,108.36029995698482,200
213,103.55840006377548,200
216,105.8004000224173,200
211,116.16780003532767,200
221,121.73559993971139,200
215,140.593699994497,200
224,150.23999998811632,200
219,170.5394999589771,200
228,171.44040006678551,200
225,175.19280000124127,200
205,202.21549994312227,200
233,192.1784000005573,200
226,213.02440005820245,200
237,213.36089994292706,200
239,230.65390007104725,200
210,272.64520002063364,200
214,274.5815999805927,200
240,258.4180000703782,200
243,278.3561000833288,200
241,290.8542000222951,200
248,300.43569998815656,200
236,315.34209998790175,200
227,327.82609993591905,200
202,356.5105999587104,200
232,333.60660006292164,200
234,338.07769999839365,200
222,350.94529995694757,200
223,354.35279994271696,200
230,363.7891999678686,200
208,384.21869999729097,200
238,370.4545999644324,200
217,399.05939996242523,200
220,406.76849998999387,200
235,396.90249995328486,200
246,389.8431999841705,200
249,389.28710005711764,200
209,433.9030000846833,200
244,420.82840006332844,200
245,421.0913000861183,200
242,423.8776999991387,200
247,428.9030000800267,200
231,440.36200002301484,200
229,442.4638000782579,200
218,451.95020001847297,200
250,66.36109994724393,200
251,74.5054999133572,200
254,80.6986999232322,200
257,85.18980001099408,200
253,92.23510010633618,200
262,97.59080002550036,200
256,118.39509999845177,200
266,115.19769998267293,200
265,117.06720001529902,200
252,135.8793000690639,200
271,123.90999996569008,200
268,136.35769998654723,200
270,145.1492999913171,200
273,158.93439995124936,200
278,161.10779996961355,200
258,183.2905999617651,200
260,191.39629998244345,200
285,181.94439995568246,200
282,198.4632998937741,200
289,212.99730008468032,200
290,224.39410001970828,200
286,228.43410004861653,200
272,241.40790000092238,200
287,234.1436999849975,200
291,237.381000071764,200
297,240.3831999981776,200
292,266.38310006819665,200
255,309.028800111264,200
269,305.88180001359433,200
